,Países,Año,Importaciones (millones de €),Exportaciones (millones de €),Latitude,Longitude
0,Afghanistan,2021,3.0,26.0,33.0,65.0
1,Albania,2021,8.0,78.0,41.0,20.0
2,Algeria,2021,1401.0,434.0,28.0,3.0
3,American Samoa,2021,0.0,0.0,-14.33,-170.0
4,Andorra,2021,3.0,11.0,42.5,1.5
5,Angola,2021,253.0,386.0,-12.5,18.5
6,Anguilla,2021,0.0,1.0,18.25,-63.17
7,Antarctica,2021,0.0,0.0,-90.0,0.0
8,Antigua and Barbuda,2021,0.0,6.0,17.05,-61.8
9,Argentina,2021,1896.0,972.0,-34.0,-64.0
10,Armenia,2021,5.0,41.0,40.0,45.0
11,Aruba,2021,8.0,114.0,12.5,-69.97
12,Australia,2021,1394.0,3373.0,-27.0,133.0
13,Austria,2021,3359.0,7270.0,47.33,13.33
14,Azerbaijan,2021,11.0,87.0,40.5,47.5
15,Bahamas,2021,14.0,39.0,24.25,-76.0
16,Bahrain,2021,169.0,171.0,26.0,50.55
17,Bangladesh,2021,1421.0,313.0,24.0,90.0
18,Barbados,2021,3.0,12.0,13.17,-59.53
19,Belarus,2021,252.0,212.0,53.0,28.0
20,Belgium,2021,50505.0,57818.0,50.83,4.0
21,Belize,2021,3.0,6.0,17.25,-88.75
22,Benin,2021,2.0,61.0,9.5,2.25
23,Bermuda,2021,85.0,2.0,32.33,-64.75
24,Bhutan,2021,0.0,1.0,27.5,90.5
25,Bolivia,2021,65.0,39.0,-17.0,-65.0
26,Bosnia and Herzegovina,2021,117.0,183.0,44.0,18.0
27,Botswana,2021,1.0,8.0,-22.0,24.0
28,Bouvet Island,2021,0.0,0.0,-54.43,3.4
29,Brazil,2021,5245.0,2836.0,-10.0,-55.0
30,British Indian Ocean Territory,2021,0.0,0.0,-6.0,71.5
31,Bulgaria,2021,828.0,1430.0,43.0,25.0
32,Burkina Faso,2021,18.0,80.0,13.0,-2.0
33,Burundi,2021,0.0,7.0,-3.5,30.0
34,Cambodia,2021,334.0,34.0,13.0,105.0
35,Cameroon,2021,617.0,188.0,6.0,12.0
36,Canada,2021,2431.0,3596.0,60.0,-95.0
37,Cape Verde,2021,0.0,54.0,16.0,-24.0
38,Cayman Islands,2021,1635.0,2810.0,19.5,-80.5
39,Central African Republic,2021,0.0,14.0,7.0,21.0
40,Chad,2021,129.0,19.0,15.0,19.0
41,Chile,2021,1165.0,707.0,-30.0,-71.0
42,China,2021,53670.0,13869.0,35.0,105.0
43,Christmas Island,2021,0.0,0.0,-10.5,105.67
44,Cocos Islands,2021,0.0,0.0,-12.5,96.83
45,Colombia,2021,944.0,609.0,4.0,-72.0
46,Comoros,2021,1.0,2.0,-12.17,44.25
47,Congo,2021,9.0,57.0,-1.0,15.0
48,Congo (Democratic Republic),2021,45.0,101.0,0.0,25.0
49,Cook Islands,2021,0.0,0.0,-21.23,-159.77
50,Costa Rica,2021,2402.0,104.0,10.0,-84.0
51,Croatia,2021,275.0,922.0,45.17,15.5
52,Cuba,2021,2.0,129.0,21.5,-80.0
53,Cyprus,2021,99.0,592.0,35.0,33.0
54,Czech Republic,2021,5680.0,8939.0,49.75,15.5
55,Denmark,2021,4954.0,7777.0,56.0,10.0
56,Djibouti,2021,1.0,14.0,11.5,43.0
57,Dominica,2021,0.0,1.0,15.42,-61.33
58,Dominican Republic,2021,294.0,198.0,19.0,-70.67
59,Ecuador,2021,532.0,158.0,-2.0,-77.5
60,Egypt,2021,541.0,2130.0,27.0,30.0
61,El Salvador,2021,14.0,37.0,13.83,-88.92
62,Equatorial Guinea,2021,256.0,27.0,2.0,10.0
63,Eritrea,2021,0.0,2.0,15.0,39.0
64,Estonia,2021,488.0,1016.0,59.0,26.0
65,Ethiopia,2021,118.0,86.0,8.0,38.0
66,Falkland Islands,2021,0.0,0.0,-51.75,-59.0
67,Faroe Islands,2021,29.0,103.0,62.0,-7.0
68,Fiji,2021,2.0,7.0,-18.0,175.0
69,Finland,2021,4506.0,5364.0,64.0,26.0
70,France,2021,18352.0,42100.0,46.0,2.0
71,French Polynesia,2021,5.0,18.0,-15.0,-140.0
72,French Southern Territories,2021,0.0,1.0,-43.0,67.0
73,Gabon,2021,226.0,55.0,-1.0,11.75
74,Gambia,2021,0.0,45.0,13.47,-16.57
75,Georgia,2021,56.0,126.0,42.0,43.5
76,Germany,2021,88195.0,112884.0,51.0,9.0
77,Ghana,2021,579.0,506.0,8.0,-2.0
78,Gibraltar,2021,22.0,314.0,36.18,-5.37
79,Greece,2021,822.0,2595.0,39.0,22.0
80,Greenland,2021,1.0,4.0,72.0,-40.0
81,Grenada,2021,1.0,3.0,12.12,-61.67
82,Guam,2021,0.0,1.0,13.47,144.78
83,Guatemala,2021,348.0,100.0,15.5,-90.25
84,Guinea,2021,35.0,91.0,11.0,-10.0
85,Guinea-Bissau,2021,0.0,20.0,12.0,-15.0
86,Guyana,2021,103.0,46.0,5.0,-59.0
87,Haiti,2021,2.0,32.0,19.0,-72.42
88,Heard Island and McDonald Islands,2021,1.0,0.0,-53.1,72.52
89,Honduras,2021,306.0,60.0,15.0,-86.5
90,Hong Kong,2021,5174.0,1873.0,22.25,114.17
91,Hungary,2021,3488.0,4401.0,47.0,20.0
92,Iceland,2021,1585.0,740.0,65.0,-18.0
93,India,2021,4447.0,2286.0,20.0,77.0
94,Indonesia,2021,3204.0,799.0,-5.0,120.0
95,Iran,2021,12.0,415.0,32.0,53.0
96,Iraq,2021,422.0,489.0,33.0,44.0
97,Ireland,2021,9988.0,5987.0,53.0,-8.0
98,Israel,2021,1410.0,2121.0,31.5,34.75
99,Italy,2021,14481.0,23204.0,42.83,12.83
100,Ivory Coast,2021,1072.0,281.0,8.0,-5.0
101,Jamaica,2021,24.0,83.0,18.25,-77.5
102,Japan,2021,7858.0,4185.0,36.0,138.0
103,Jordan,2021,55.0,344.0,31.0,36.0
104,Kazakhstan,2021,429.0,386.0,48.0,68.0
105,Kenya,2021,557.0,560.0,1.0,38.0
106,Kiribati,2021,0.0,0.0,1.42,173.0
107,Kuwait,2021,293.0,542.0,29.34,47.66
108,Kyrgyz,2021,0.0,14.0,41.0,75.0
109,Laos,2021,19.0,4.0,18.0,105.0
110,Latvia,2021,774.0,797.0,57.0,25.0
111,Lebanon,2021,53.0,196.0,33.83,35.83
112,Lesotho,2021,1.0,0.0,-29.5,28.5
113,Liberia,2021,17.0,29.0,6.5,-9.5
114,Libya,2021,1418.0,440.0,25.0,17.0
115,Liechtenstein,2021,2.0,23.0,47.17,9.53
116,Lithuania,2021,1795.0,1563.0,56.0,24.0
117,Luxembourg,2021,1191.0,1522.0,49.75,6.17
118,Macao,2021,19.0,31.0,22.17,113.55
119,Macedonia,2021,98.0,122.0,41.83,22.0
120,Madagascar,2021,59.0,20.0,-20.0,47.0
121,Malawi,2021,10.0,17.0,-13.5,34.0
122,Malaysia,2021,6727.0,863.0,2.5,112.5
123,Maldives,2021,2.0,10.0,3.25,73.0
124,Mali,2021,5.0,117.0,17.0,-4.0
125,Malta,2021,77.0,420.0,35.83,14.58
126,Marshall Islands,2021,36.0,224.0,9.0,168.0
127,Mauritania,2021,2.0,83.0,20.0,-12.0
128,Mauritius,2021,47.0,40.0,-20.28,57.55
129,Mexico,2021,1442.0,2577.0,23.0,-102.0
130,Micronesia,2021,0.0,0.0,6.92,158.25
131,Moldova,2021,23.0,98.0,47.0,29.0
132,Mongolia,2021,1.0,47.0,46.0,105.0
133,Montenegro,2021,15.0,28.0,42.0,19.0
134,Montserrat,2021,0.0,0.0,16.75,-62.2
135,Morocco,2021,606.0,1053.0,32.0,-5.0
136,Mozambique,2021,59.0,65.0,-18.25,35.0
137,Myanmar,2021,218.0,23.0,22.0,98.0
138,Namibia,2021,170.0,22.0,-22.0,17.0
139,Nauru,2021,0.0,0.0,-0.53,166.92
140,Nepal,2021,2.0,24.0,28.0,84.0
141,New Caledonia,2021,0.0,6.0,-21.5,165.5
142,New Zealand,2021,421.0,671.0,-41.0,174.0
143,Nicaragua,2021,39.0,36.0,13.0,-85.0
144,Niger,2021,0.0,27.0,16.0,8.0
145,Nigeria,2021,2442.0,3727.0,10.0,8.0
146,Norfolk Island,2021,0.0,0.0,-29.03,167.95
147,North Korea,2021,3.0,0.0,40.0,127.0
148,Northern Mariana Islands,2021,0.0,0.0,15.2,145.75
149,Norway,2021,6988.0,4921.0,62.0,10.0
150,Occupied Palestinian Territory,2021,7.0,31.0,32.0,35.25
151,Oman,2021,96.0,221.0,21.0,57.0
152,Pakistan,2021,715.0,647.0,30.0,70.0
153,Palau,2021,0.0,0.0,7.5,134.5
154,Panama,2021,152.0,101.0,9.0,-80.0
155,Papua New Guinea,2021,405.0,11.0,-6.0,147.0
156,Paraguay,2021,43.0,134.0,-23.0,-58.0
157,Peru,2021,1585.0,275.0,-10.0,-76.0
158,Philippines,2021,1864.0,606.0,13.0,122.0
159,Poland,2021,10853.0,18146.0,52.0,20.0
160,Portugal,2021,2308.0,3827.0,39.5,-8.0
161,Qatar,2021,424.0,550.0,25.5,51.25
162,Romania,2021,1855.0,3089.0,46.0,25.0
163,Russia,2021,13369.0,6470.0,60.0,100.0
164,Rwanda,2021,8.0,35.0,-2.0,30.0
165,"Saint Helena,Ascension,Tristan da Cunha",2021,0.0,0.0,-15.93,-5.7
166,Saint Lucia,2021,0.0,5.0,13.88,-61.13
167,Samoa,2021,1.0,4.0,-13.58,-172.33
168,San Marino,2021,4.0,16.0,43.77,12.42
169,Sao Tome and Principe,2021,4.0,1.0,1.0,7.0
170,Saudi Arabia,2021,2223.0,2693.0,25.0,45.0
171,Senegal,2021,47.0,627.0,14.0,-14.0
172,Serbia,2021,304.0,678.0,44.0,21.0
173,Seychelles,2021,21.0,8.0,-4.58,55.67
174,Sierra Leone,2021,36.0,44.0,8.5,-11.5
175,Singapore,2021,4154.0,2376.0,1.37,103.8
176,Slovakia,2021,1310.0,1771.0,48.67,19.5
177,Slovenia,2021,741.0,1070.0,46.0,15.0
178,Solomon Islands,2021,19.0,0.0,-8.0,159.0
179,Somalia,2021,2.0,13.0,10.0,49.0
180,South Africa,2021,1704.0,2072.0,-29.0,24.0
181,South Georgia and South Sandwich Islands,2021,0.0,0.0,-54.5,-37.0
182,South Korea,2021,5305.0,8553.0,37.0,127.5
183,Spain,2021,10384.0,18156.0,40.0,-4.0
184,Sri Lanka,2021,311.0,90.0,7.0,81.0
185,St Kitts and Nevis,2021,0.0,0.0,17.33,-62.75
186,St Pierre and Miquelon,2021,0.0,0.0,46.83,-56.33
187,St Vincent and the Grenadines,2021,46.0,66.0,13.25,-61.2
188,Sudan,2021,6.0,62.0,15.0,30.0
189,Suriname,2021,23.0,202.0,4.0,-56.0
190,Swaziland,2021,6.0,3.0,-26.5,31.5
191,Sweden,2021,8079.0,11858.0,62.0,15.0
192,Switzerland,2021,4321.0,8045.0,47.0,8.0
193,Syria,2021,5.0,33.0,35.0,38.0
194,Taiwan,2021,6007.0,9704.0,23.5,121.0
195,Tajikistan,2021,0.0,7.0,39.0,71.0
196,Tanzania,2021,64.0,131.0,-6.0,35.0
197,Thailand,2021,3631.0,919.0,15.0,100.0
198,Togo,2021,10.0,957.0,8.0,1.17
199,Tokelau,2021,0.0,0.0,-9.0,-172.0
200,Tonga,2021,0.0,0.0,-20.0,-175.0
201,Trinidad and Tobago,2021,197.0,38.0,11.0,-61.0
202,Tunisia,2021,252.0,261.0,34.0,9.0
203,Turkey,2021,4129.0,6140.0,39.0,35.0
204,Turkmenistan,2021,0.0,44.0,40.0,60.0
205,Turks and Caicos Islands,2021,0.0,0.0,21.75,-71.58
206,Tuvalu,2021,0.0,0.0,-8.0,178.0
207,Uganda,2021,81.0,112.0,1.0,32.0
208,Ukraine,2021,2041.0,1197.0,49.0,32.0
209,United Arab Emirates,2021,1162.0,2619.0,24.0,54.0
210,United Kingdom,2021,22275.0,36721.0,54.0,-2.0
211,United States,2021,39774.0,27333.0,38.0,-97.0
212,United States Minor Outlying Islands,2021,0.0,0.0,19.28,166.6
213,Uruguay,2021,406.0,106.0,-33.0,-56.0
214,Uzbekistan,2021,7.0,132.0,41.0,64.0
215,Vanuatu,2021,0.0,0.0,-16.0,167.0
216,Vatican City,2021,0.0,4.0,41.9,12.45
217,Venezuela,2021,156.0,22.0,8.0,-66.0
218,Viet-Nam,2021,6121.0,923.0,16.0,106.0
219,Wallis and Futuna,2021,0.0,1.0,-13.3,-176.2
220,Western Sahara,2021,0.0,0.0,24.5,-13.0
221,Yemen,2021,6.0,68.0,15.0,48.0
222,Zambia,2021,10.0,57.0,-15.0,30.0
223,Zimbabwe,2021,30.0,24.0,-20.0,30.0
