Países,Producto,Exportaciones (millones de €)
Germany,"Telecommunications equipment, n.e...",4682.0
Belgium,Petroleum oils and oils obtained ...,6831.0
France,"Telecommunications equipment, n.e...",2034.0
United Kingdom,Petroleum oils and oils obtained ...,2037.0
United States,Petroleum oils and oils obtained ...,3713.0
Italy,"Telecommunications equipment, n.e...",1325.0
Spain,Medicaments (including veterinary...,841.0
Poland,"Thermionic, cold cathode or photo...",2341.0
China,Other machinery and equipment spe...,2356.0
Sweden,Petroleum oils and oils obtained ...,1768.0
