Países,Producto,Importaciones (millones de €)
Germany,Motor cars and other motor vehicl...,4275.0
China,"Telecommunications equipment, n.e...",7735.0
Belgium,Petroleum oils and oils obtained ...,6215.0
United States,Petroleum oils and oils obtained ...,5270.0
United Kingdom,Petroleum oils and oils obtained ...,5373.0
France,"Thermionic, cold cathode or photo...",1039.0
Italy,Petroleum oils and oils obtained ...,850.0
Russia,Petroleum oils and oils obtained ...,10976.0
Poland,Furniture and parts thereof; bedd...,798.0
Spain,Petroleum oils and oils obtained ...,766.0
