Países;Latitude;Longitude
Afghanistan;33;65
Albania;41;20
Algeria;28;3
American Samoa;-14.33;-170
Andorra;42.5;1.5
Angola;-12.5;18.5
Anguilla;18.25;-63.17
Antarctica;-90;0
Antigua and Barbuda;17.05;-61.8
Argentina;-34;-64
Armenia;40;45
Aruba;12.5;-69.97
Asia/Pacific Region;35;105
Australia;-27;133
Austria;47.33;13.33
Azerbaijan;40.5;47.5
Bahamas;24.25;-76
Bahrain;26;50.55
Bangladesh;24;90
Barbados;13.17;-59.53
Belarus;53;28
Belgium;50.83;4
Belize;17.25;-88.75
Benin;9.5;2.25
Bermuda;32.33;-64.75
Bhutan;27.5;90.5
Bolivia;-17;-65
Bosnia and Herzegovina;44;18
Botswana;-22;24
Bouvet Island;-54.43;3.4
Brazil;-10;-55
British Indian Ocean Territory;-6;71.5
Brunei ;4.5;114.67
Bulgaria;43;25
Burkina Faso;13;-2
Burundi;-3.5;30
Cambodia;13;105
Cameroon;6;12
Canada;60;-95
Cape Verde;16;-24
Cayman Islands;19.5;-80.5
Central African Republic;7;21
Chad;15;19
Chile;-30;-71
China;35;105
Christmas Island;-10.5;105.67
Cocos Islands;-12.5;96.83
Colombia;4;-72
Comoros;-12.17;44.25
Congo;-1;15
Congo (Democratic Republic);0;25
Cook Islands;-21.23;-159.77
Costa Rica;10;-84
Croatia;45.17;15.5
Cuba;21.5;-80
Cyprus;35;33
Czech Republic;49.75;15.5
Denmark;56;10
Djibouti;11.5;43
Dominica;15.42;-61.33
Dominican Republic;19;-70.67
Ecuador;-2;-77.5
Egypt;27;30
El Salvador;13.83;-88.92
Equatorial Guinea;2;10
Eritrea;15;39
Estonia;59;26
Ethiopia;8;38
Europe;47;8
Falkland Islands;-51.75;-59
Faroe Islands;62;-7
Fiji;-18;175
Finland;64;26
France;46;2
French Guiana;4;-53
French Polynesia;-15;-140
French Southern Territories;-43;67
Gabon;-1;11.75
Gambia;13.47;-16.57
Georgia;42;43.5
Germany;51;9
Ghana;8;-2
Gibraltar;36.18;-5.37
Greece;39;22
Greenland;72;-40
Grenada;12.12;-61.67
Guadeloupe;16.25;-61.58
Guam;13.47;144.78
Guatemala;15.5;-90.25
Guinea;11;-10
Guinea-Bissau;12;-15
Guyana;5;-59
Haiti;19;-72.42
Heard Island and McDonald Islands;-53.1;72.52
Honduras;15;-86.5
Hong Kong;22.25;114.17
Hungary;47;20
Iceland;65;-18
India;20;77
Indonesia;-5;120
Iran;32;53
Iraq;33;44
Ireland;53;-8
Israel;31.5;34.75
Italy;42.83;12.83
Ivory Coast;8;-5
Jamaica;18.25;-77.5
Japan;36;138
Jordan;31;36
Kazakhstan;48;68
Kenya;1;38
Kiribati;1.42;173
Kuwait;29.34;47.66
Kyrgyz;41;75
Laos;18;105
Latvia;57;25
Lebanon;33.83;35.83
Lesotho;-29.5;28.5
Liberia;6.5;-9.5
Libya;25;17
Liechtenstein;47.17;9.53
Lithuania;56;24
Luxembourg;49.75;6.17
Macao;22.17;113.55
Macedonia;41.83;22
Madagascar;-20;47
Malawi;-13.5;34
Malaysia;2.5;112.5
Maldives;3.25;73
Mali;17;-4
Malta;35.83;14.58
Marshall Islands;9;168
Martinique;14.67;-61
Mauritania;20;-12
Mauritius;-20.28;57.55
Mayotte;-12.83;45.17
Mexico;23;-102
Micronesia;6.92;158.25
Moldova;47;29
Monaco;43.73;7.4
Mongolia;46;105
Montenegro;42;19
Montserrat;16.75;-62.2
Morocco;32;-5
Mozambique;-18.25;35
Myanmar;22;98
Namibia;-22;17
Nauru;-0.53;166.92
Nepal;28;84
Netherlands;52.5;5.75
Netherlands Antilles;12.25;-68.75
New Caledonia;-21.5;165.5
New Zealand;-41;174
Nicaragua;13;-85
Niger;16;8
Nigeria;10;8
Niue;-19.03;-169.87
Norfolk Island;-29.03;167.95
North Korea;40;127
Northern Mariana Islands;15.2;145.75
Norway;62;10
Occupied Palestinian Territory;32;35.25
Oman;21;57
Pakistan;30;70
Palau;7.5;134.5
Panama;9;-80
Papua New Guinea;-6;147
Paraguay;-23;-58
Peru;-10;-76
Philippines;13;122
Poland;52;20
Portugal;39.5;-8
Puerto Rico;18.25;-66.5
Qatar;25.5;51.25
Reunion;-21.1;55.6
Romania;46;25
Russia;60;100
Rwanda;-2;30
