ID;SITC;Countries;Periods;ImportValue_1;ExportValue_2;BalanceOfTrade_3;ChangeInImportValue_4;ChangeInExportValue_5
77;T001082;T001047;2017JJ00;408885;467434;58550;    10.9;    10.4
218;T001082;L007935;2017JJ00;221774;333649;111875;    10.7;     8.8
359;T001082;L006998;2017JJ00;187111;133785;-53325;    11.1;    14.7
500;T001082;L007933;2017JJ00;;;;;
641;T001082;L008519;2017JJ00;;;;;
782;T001082;L008520;2017JJ00;;;;;
923;T001082;L008524;2017JJ00;;;;;
1064;T001082;L008531;2017JJ00;;;;;
1205;T001082;L008527;2017JJ00;;;;;
1346;T001082;L008533;2017JJ00;3;33;30;   279.2;    -3.9
1487;T001082;L008534;2017JJ00;5;51;45;   -12.6;    -7.0
1628;T001082;L008535;2017JJ00;798;767;-31;    -7.5;    -9.2
1769;T001082;L008536;2017JJ00;0;0;0;   -28.0;    14.4
1910;T001082;L008537;2017JJ00;0;3;3;   -66.1;   -37.7
2051;T001082;L008538;2017JJ00;3;15;12;   385.9;     6.5
2192;T001082;L008539;2017JJ00;5;150;145;   -97.0;    -6.1
2333;T001082;L008540;2017JJ00;0;1;1;;   -45.3
2474;T001082;L008532;2017JJ00;0;0;0;    35.3;    39.1
2615;T001082;L008541;2017JJ00;0;6;6;   -77.4;   -82.7
2756;T001082;L008542;2017JJ00;1112;790;-322;     5.0;    10.8
2897;T001082;L008543;2017JJ00;6;47;41;   -16.2;    64.9
3038;T001082;L008544;2017JJ00;;112;;;    14.3
3179;T001082;L008545;2017JJ00;1220;2599;1379;    22.5;    11.4
3320;T001082;L008709;2017JJ00;2501;5741;3239;    17.4;    11.8
3461;T001082;L008546;2017JJ00;5;138;133;    36.6;    18.6
3602;T001082;L008547;2017JJ00;12;199;187;    14.0;   118.6
3743;T001082;L008548;2017JJ00;114;164;49;    67.5;     6.9
3884;T001082;L008549;2017JJ00;1252;335;-918;    26.6;    71.4
4025;T001082;L008550;2017JJ00;4;14;10;    -5.1;    18.1
4166;T001082;L008783;2017JJ00;191;257;66;    23.6;    31.2
4307;T001082;L008552;2017JJ00;42196;48137;5941;    12.9;    10.5
