Key;Title;Description
L008533;Afghanistan;"GEO code: 660 
ISO 3166-1 numeric code: 004
ISO 3166-1 alpha-2 code: AF 
ISO 3166-1 alpha-3 code: AFG"
L008534;Albania;"GEO code: 070
ISO 3166-1 numeric code: 008
ISO 3166-1 alpha-2 code: AL
ISO 3166-1 alpha-3 code: ALB"
L008535;Algeria;"GEO code: 208
ISO 3166-1 numeric code: 012 
ISO 3166-1 alpha-2 code: DZ
ISO 3166-1 alpha-3 code: DZA"
L008536;American Samoa;"GEO code: 830
ISO 3166-1 numeric code: 016 
ISO 3166-1 alpha-2 code: AS
ISO 3166-1 alpha-3 code: ASM"
L008537;American Virgin Islands;"GEO code: 457
ISO 3166-1 numeric code: 850 
ISO 3166-1 alpha-2 code: VI
ISO 3166-1 alpha-3 code: VIR"
L008538;Andorra;"GEO code: 043
ISO 3166-1 numeric code: 020
ISO 3166-1 alpha-2 code: AD 
ISO 3166-1 alpha-3 code: AND"
L008539;Angola;"GEO code: 330
ISO 3166-1 numeric code: 024 
ISO 3166-1 alpha-2 code: AO
ISO 3166-1 alpha-3 code: AGO"
L008540;Anguilla;"GEO code: 446
ISO 3166-1 numeric code: 660 
ISO 3166-1 alpha-2 code: AI
ISO 3166-1 alpha-3 code: AIA"
L008532;Antarctica;"GEO code: 891
ISO 3166-1 numeric code: 010
ISO 3166-1 alpha-2 code: AQ
ISO 3166-1 alpha-3 code: ATA"
L008541;Antigua and Barbuda;"GEO code: 459
ISO 3166-1 numeric code: 028 
ISO 3166-1 alpha-2 code: AG
ISO 3166-1 alpha-3 code: ATG"
L008542;Argentina;"GEO code: 528
ISO 3166-1 numeric code: 032 
ISO 3166-1 alpha-2 code: AR
ISO 3166-1 alpha-3 code: ARG"
L008543;Armenia;"GEO code: 077 
ISO 3166-1 numeric code: 051 
ISO 3166-1 alpha-2 code: AM
ISO 3166-1 alpha-3 code: ARM"
L008544;Aruba;"GEO code: 474
ISO 3166-1 numeric code: 533
ISO 3166-1 alpha-2 code: AW 
ISO 3166-1 alpha-3 code: ABW"
L008545;Australia;"GEO code: 800
ISO 3166-1 numeric code: 036
ISO 3166-1 alpha-2 code: AU 
ISO 3166-1 alpha-3 code: AUS"
L008709;Austria;"GEO code: 038
ISO 3166-1 numeric code: 040
ISO 3166-1 alpha-2 code: AT
ISO 3166-1 alpha-3 code: AUT"
L008546;Azerbaijan;"GEO code: 078
ISO 3166-1 numeric code: 031
ISO 3166-1 alpha-2 code: AZ 
ISO 3166-1 alpha-3 code: AZE"
L008547;Bahamas;"GEO code: 453
ISO 3166-1 numeric code: 044
ISO 3166-1 alpha-2 code: BS 
ISO 3166-1 alpha-3 code: BHS"
L008548;Bahrain;"GEO code: 640
ISO 3166-1 numeric code: 048
ISO 3166-1 alpha-2 code: BH 
ISO 3166-1 alpha-3 code: BHR"
L008549;Bangladesh;"GEO code: 666
ISO 3166-1 numeric code: 050
ISO 3166-1 alpha-2 code: BD 
ISO 3166-1 alpha-3 code: BGD"
